Zeit Kanal A
(ms) (mV)
-35.88097000 3.56151000
-35.86049000 2.66426600
-35.84001000 3.56151000
-35.81953000 3.56151000
-35.79905000 3.56151000
-35.77857000 3.56151000
-35.75809000 2.66426600
-35.73761000 3.56151000
-35.71712000 2.66426600
-35.69665000 2.66426600
-35.67617000 2.66426600
-35.65569000 2.66426600
-35.63521000 3.56151000
-35.61473000 2.66426600
-35.59425000 3.56151000
-35.57377000 3.56151000
-35.55329000 2.66426600
-35.53281000 2.66426600
-35.51233000 2.66426600
-35.49185000 3.56151000
-35.47137000 3.56151000
-35.45089000 3.56151000
-35.43041000 2.66426600
-35.40993000 3.56151000
-35.38945000 2.66426600
-35.36897000 2.66426600
-35.34849000 1.76397000
-35.32801000 2.66426600
-35.30753000 3.56151000
-35.28705000 3.56151000
-35.26657000 3.56151000
-35.24609000 2.66426600
-35.22561000 2.66426600
-35.20512000 1.76397000
-35.18465000 2.66426600
-35.16417000 1.76397000
-35.14369000 2.66426600
-35.12321000 3.56151000
-35.10273000 2.66426600
-35.08225000 3.56151000
-35.06177000 2.66426600
-35.04129000 2.66426600
-35.02081000 2.66426600
-35.00033000 2.66426600
-34.97985000 3.56151000
-34.95937000 2.66426600
-34.93889000 3.56151000
-34.91841000 2.66426600
-34.89793000 2.66426600
-34.87745000 2.66426600
-34.85697000 2.66426600
-34.83649000 2.66426600
-34.81601000 3.56151000
-34.79552000 3.56151000
-34.77505000 3.56151000
-34.75457000 3.56151000
-34.73409000 2.66426600
-34.71361000 2.66426600
-34.69313000 1.76397000
-34.67265000 2.66426600
-34.65216000 2.66426600
-34.63169000 2.66426600
-34.61121000 3.56151000
-34.59073000 2.66426600
-34.57025000 3.56151000
-34.54977000 2.66426600
-34.52929000 2.66426600
-34.50881000 2.66426600
-34.48833000 2.66426600
-34.46785000 3.56151000
-34.44737000 2.66426600
-34.42689000 50.30976000
-34.40641000 47.61193000
-34.38593000 44.91714000
-34.36545000 43.11655000
-34.34497000 37.72393000
-34.32449000 34.12885000
-34.30401000 32.32826000
-34.28353000 30.53072000
-34.26305000 27.83288000
-34.24257000 26.93563000
-34.22209000 24.23780000
-34.20161000 22.44026000
-34.18113000 19.74242000
-34.16065000 19.74242000
-34.14017000 17.94488000
-34.11969000 17.04459000
-34.09921000 16.14734000
-34.07873000 14.34675000
-34.05825000 14.34675000
-34.03777000 13.44951000
-34.01729000 11.65197000
-33.99681000 10.75167000
-33.97633000 10.75167000
-33.95584000 10.75167000
-33.93537000 9.85137500
-33.91489000 9.85137500
-33.89441000 8.95413000
-33.87393000 8.05383400
-33.85345000 7.15659000
-33.83297000 7.15659000
-33.81249000 7.15659000
-33.79201000 7.15659000
-33.77153000 7.15659000
-33.75105000 7.15659000
-33.73057000 7.15659000
-33.71009000 5.35905000
-33.68961000 6.25629500
-33.66913000 5.35905000
-33.64865000 5.35905000
-33.62817000 5.35905000
-33.60769000 5.35905000
-33.58721000 5.35905000
-33.56673000 5.35905000
-33.54625000 4.46180600
-33.52577000 4.46180600
-33.50529000 4.46180600
-33.48481000 3.56151000
-33.46433000 4.46180600
-33.44385000 4.46180600
-33.42337000 3.56151000
-33.40289000 4.46180600
-33.38241000 3.56151000
-33.36193000 3.56151000
-33.34145000 3.56151000
-33.32097000 3.56151000
-33.30049000 2.66426600
-33.28001000 3.56151000
-33.25953000 3.56151000
-33.23905000 3.56151000
-33.21857000 3.56151000
-33.19809000 3.56151000
-33.17761000 3.56151000
-33.15713000 2.66426600
-33.13665000 2.66426600
-33.11617000 3.56151000
-33.09569000 3.56151000
-33.07521000 3.56151000
-33.05473000 3.56151000
-33.03424000 3.56151000
-33.01377000 3.56151000
-32.99329000 3.56151000
-32.97281000 1.76397000
-32.95233000 3.56151000
-32.93185000 3.56151000
-32.91137000 3.56151000
-32.89088000 3.56151000
-32.87041000 2.66426600
-32.84993000 3.56151000
-32.82945000 2.66426600
-32.80897000 2.66426600
-32.78849000 2.66426600
-32.76801000 2.66426600
-32.74753000 3.56151000
-32.72705000 3.56151000
-32.70657000 3.56151000
-32.68609000 2.66426600
-32.66561000 2.66426600
-32.64513000 2.66426600
-32.62465000 2.66426600
-32.60417000 3.56151000
-32.58369000 2.66426600
-32.56321000 3.56151000
-32.54273000 3.56151000
-32.52225000 2.66426600
-32.50177000 2.66426600
-32.48129000 3.56151000
-32.46081000 2.66426600
-32.44033000 3.56151000
-32.41985000 3.56151000
-32.39937000 2.66426600
-32.37889000 3.56151000
-32.35841000 3.56151000
-32.33792000 2.66426600
-32.31745000 1.76397000
-32.29697000 2.66426600
-32.27649000 1.76397000
-32.25601000 2.66426600
-32.23553000 3.56151000
-32.21505000 2.66426600
-32.19456000 3.56151000
-32.17409000 2.66426600
-32.15361000 2.66426600
-32.13313000 1.76397000
-32.11265000 2.66426600
-32.09217000 3.56151000
-32.07169000 2.66426600
-32.05121000 3.56151000
-32.03073000 3.56151000
-32.01025000 3.56151000
-31.98977000 3.56151000
-31.96929000 2.66426600
-31.94881000 2.66426600
-31.92833000 2.66426600
-31.90785000 3.56151000
-31.88737000 3.56151000
-31.86689000 3.56151000
-31.84641000 2.66426600
-31.82593000 3.56151000
-31.80545000 1.76397000
-31.78497000 2.66426600
-31.76449000 2.66426600
-31.74401000 3.56151000
-31.72353000 3.56151000
-31.70305000 2.66426600
-31.68257000 3.56151000
-31.66209000 2.66426600
-31.64161000 2.66426600
-31.62113000 1.76397000
-31.60065000 2.66426600
-31.58017000 3.56151000
-31.55969000 2.66426600
-31.53921000 3.56151000
-31.51873000 2.66426600
-31.49825000 2.66426600
-31.47777000 3.56151000
-31.45729000 2.66426600
-31.43681000 2.66426600
