Zeit,Kanal A,Kanal B
(ms),(mV),(V)

-4.28160600,2.46742200,-1.53733900
-4.28032600,2.46742200,-1.53733900
-4.27904700,2.91604400,-1.53733900
-4.27776600,2.91604400,-1.53733900
-4.27648600,2.91604400,-1.53733900
-4.27520600,2.91604400,-1.53733900
-4.27392600,2.46742200,-1.53733900
-4.27264600,2.91604400,-1.53733900
-4.27136600,1.12155500,-1.55497900
-4.27008600,1.57017700,-1.53733900
-4.26880600,1.57017700,-1.53733900
-4.26752600,2.01879900,-1.53733900
-4.26624600,2.01879900,-1.53733900
-4.26496600,2.91604400,-1.48435900
-4.26368600,3.36466600,-1.51963900
-4.26240600,2.91604400,-1.51963900
-4.26112600,3.36466600,-1.51963900
-4.25984600,2.91604400,-1.51963900
-4.25856600,2.91604400,-1.51963900
-4.25728600,2.91604400,-1.53733900
-4.25600600,2.91604400,-1.53733900
-4.25472600,2.46742200,-1.55497900
-4.25344600,2.46742200,-1.53733900
-4.25216600,2.46742200,-1.53733900
-4.25088600,2.46742200,-1.53733900
-4.24960600,2.46742200,-1.53733900
-4.24832600,2.91604400,-1.53733900
-4.24704600,2.91604400,-1.53733900
-4.24576600,2.46742200,-1.53733900
-4.24448600,2.46742200,-1.53733900
-4.24320600,2.91604400,-1.53733900
-4.24192600,2.91604400,-1.53733900
-4.24064600,2.91604400,-1.53733900
-4.23936600,2.46742200,-1.53733900
-4.23808600,2.91604400,-1.53733900
-4.23680600,2.46742200,-1.53733900
-4.23552600,2.46742200,-1.53733900
-4.23424600,1.57017700,-1.55497900
-4.23296600,1.57017700,-1.55497900
-4.23168600,2.01879900,-1.55497900
-4.23040600,1.57017700,-1.53733900
-4.22912600,2.91604400,-1.51963900
-4.22784600,3.36466600,-1.48435900
-4.22656600,2.91604400,-1.51963900
-4.22528600,3.36466600,-1.51963900
-4.22400600,3.36466600,-1.51963900
-4.22272600,3.36466600,-1.51963900
-4.22144700,3.36466600,-1.53733900
-4.22016600,2.91604400,-1.53733900
-4.21888600,2.91604400,-1.53733900
-4.21760600,2.46742200,-1.53733900
-4.21632600,2.46742200,-1.53733900
-4.21504600,2.91604400,-1.53733900
-4.21376600,2.46742200,-1.53733900
-4.21248600,2.91604400,-1.53733900
-4.21120600,2.91604400,-1.51963900
-4.20992600,2.91604400,-1.53733900
-4.20864600,2.91604400,-1.53733900
-4.20736600,2.91604400,-1.53733900
-4.20608600,2.91604400,-1.53733900
-4.20480600,2.46742200,-1.53733900
-4.20352600,2.46742200,-1.51963900
-4.20224600,2.46742200,-1.53733900
-4.20096600,2.46742200,-1.53733900
-4.19968600,2.46742200,-1.53733900
-4.19840600,2.01879900,-1.53733900
-4.19712600,2.01879900,-1.55497900
-4.19584600,1.57017700,-1.53733900
-4.19456600,2.01879900,-1.53733900
-4.19328600,2.01879900,-1.53733900
-4.19200600,2.91604400,-1.48435900
-4.19072600,2.91604400,-1.51963900
-4.18944600,2.91604400,-1.51963900
-4.18816600,3.36466600,-1.50199900
-4.18688600,3.36466600,-1.51963900
-4.18560600,3.36466600,-1.51963900
-4.18432600,2.91604400,-1.51963900
-4.18304600,2.91604400,-1.53733900
-4.18176600,2.46742200,-1.55497900
-4.18048600,2.46742200,-1.53733900
-4.17920600,2.46742200,-1.53733900
-4.17792600,2.46742200,-1.53733900
-4.17664600,2.46742200,-1.53733900
-4.17536600,2.46742200,-1.53733900
-4.17408600,2.91604400,-1.53733900
-4.17280600,2.46742200,-1.51963900
-4.17152600,2.91604400,-1.53733900
-4.17024600,2.91604400,-1.53733900
-4.16896600,2.46742200,-1.51963900
-4.16768600,2.91604400,-1.53733900
-4.16640600,2.91604400,-1.53733900
-4.16512600,2.46742200,-1.53733900
-4.16384600,2.46742200,-1.53733900
-4.16256600,2.91604400,-1.51963900
-4.16128600,1.57017700,-1.55497900
-4.16000600,1.57017700,-1.53733900
-4.15872600,1.57017700,-1.55497900
-4.15744600,1.57017700,-1.53733900
-4.15616600,2.46742200,-1.51963900
-4.15488600,2.91604400,-1.50199900
-4.15360600,2.91604400,-1.51963900
-4.15232600,3.36466600,-1.50199900
-4.15104600,3.36466600,-1.51963900
-4.14976600,3.36466600,-1.51963900
-4.14848600,3.36466600,-1.51963900
-4.14720600,2.91604400,-1.53733900
-4.14592600,2.46742200,-1.53733900
